category,variable,component,metric,value
component,bob_secret_displacement,0,samples,10000
component,bob_secret_displacement,0,mean,124.7208
component,bob_secret_displacement,0,distinct_values,251
component,bob_secret_displacement,0,entropy_bits,7.954923955876259
component,bob_secret_displacement,0,maximum_uniform_entropy_bits,7.971543553950772
component,bob_secret_displacement,0,chi_square_uniform,228.50099999999992
component,bob_secret_displacement,0,chi_square_df,250
component,bob_secret_displacement,1,samples,10000
component,bob_secret_displacement,1,mean,126.0309
component,bob_secret_displacement,1,distinct_values,251
component,bob_secret_displacement,1,entropy_bits,7.953060884908374
component,bob_secret_displacement,1,maximum_uniform_entropy_bits,7.971543553950772
component,bob_secret_displacement,1,chi_square_uniform,255.20739999999998
component,bob_secret_displacement,1,chi_square_df,250
component,bob_secret_displacement,2,samples,10000
component,bob_secret_displacement,2,mean,124.7961
component,bob_secret_displacement,2,distinct_values,251
component,bob_secret_displacement,2,entropy_bits,7.954217085897837
component,bob_secret_displacement,2,maximum_uniform_entropy_bits,7.971543553950772
component,bob_secret_displacement,2,chi_square_uniform,239.2438
component,bob_secret_displacement,2,chi_square_df,250
component,bob_secret_displacement,3,samples,10000
component,bob_secret_displacement,3,mean,125.7186
component,bob_secret_displacement,3,distinct_values,251
component,bob_secret_displacement,3,entropy_bits,7.949376889117421
component,bob_secret_displacement,3,maximum_uniform_entropy_bits,7.971543553950772
component,bob_secret_displacement,3,chi_square_uniform,306.0600000000002
component,bob_secret_displacement,3,chi_square_df,250
component,bob_secret_displacement,4,samples,10000
component,bob_secret_displacement,4,mean,124.8052
component,bob_secret_displacement,4,distinct_values,251
component,bob_secret_displacement,4,entropy_bits,7.955738189387427
component,bob_secret_displacement,4,maximum_uniform_entropy_bits,7.971543553950772
component,bob_secret_displacement,4,chi_square_uniform,218.86259999999993
component,bob_secret_displacement,4,chi_square_df,250
component,bob_secret_displacement,5,samples,10000
component,bob_secret_displacement,5,mean,125.6035
component,bob_secret_displacement,5,distinct_values,251
component,bob_secret_displacement,5,entropy_bits,7.9565778217708925
component,bob_secret_displacement,5,maximum_uniform_entropy_bits,7.971543553950772
component,bob_secret_displacement,5,chi_square_uniform,207.71819999999994
component,bob_secret_displacement,5,chi_square_df,250
component,bob_secret_displacement,6,samples,10000
component,bob_secret_displacement,6,mean,124.5128
component,bob_secret_displacement,6,distinct_values,251
component,bob_secret_displacement,6,entropy_bits,7.955263810221386
component,bob_secret_displacement,6,maximum_uniform_entropy_bits,7.971543553950772
component,bob_secret_displacement,6,chi_square_uniform,223.22999999999993
component,bob_secret_displacement,6,chi_square_df,250
component,bob_secret_displacement,7,samples,10000
component,bob_secret_displacement,7,mean,124.6714
component,bob_secret_displacement,7,distinct_values,251
component,bob_secret_displacement,7,entropy_bits,7.954567249071645
component,bob_secret_displacement,7,maximum_uniform_entropy_bits,7.971543553950772
component,bob_secret_displacement,7,chi_square_uniform,231.26200000000014
component,bob_secret_displacement,7,chi_square_df,250
octonion,bob_secret_displacement,,mean_component_entropy_bits,7.954215735781405
octonion,bob_secret_displacement,,minimum_component_entropy_bits,7.949376889117421
octonion,bob_secret_displacement,,maximum_component_entropy_bits,7.9565778217708925
octonion,bob_secret_displacement,,mean_component_chi_square,238.760625
norm,bob_secret_displacement,,distinct_norm_values,251
norm,bob_secret_displacement,,mean,126.1421
norm,bob_secret_displacement,,entropy_bits,7.9566153418237775
norm,bob_secret_displacement,,chi_square_uniform,204.95720000000003
norm,bob_secret_displacement,,chi_square_df,250
quadratic_character,bob_secret_displacement,-1,count,4977
quadratic_character,bob_secret_displacement,-1,rate,0.4977
quadratic_character,bob_secret_displacement,0,count,43
quadratic_character,bob_secret_displacement,0,rate,0.0043
quadratic_character,bob_secret_displacement,1,count,4980
quadratic_character,bob_secret_displacement,1,rate,0.498
correlation,bob_secret_displacement,0-1,pearson_correlation,-0.019517710835181192
correlation,bob_secret_displacement,0-2,pearson_correlation,-0.015827729407391643
correlation,bob_secret_displacement,0-3,pearson_correlation,0.0013194062509380604
correlation,bob_secret_displacement,0-4,pearson_correlation,-0.008206981980257634
correlation,bob_secret_displacement,0-5,pearson_correlation,0.011389574917078262
correlation,bob_secret_displacement,0-6,pearson_correlation,0.0016016260759040392
correlation,bob_secret_displacement,0-7,pearson_correlation,-0.011315102133958796
correlation,bob_secret_displacement,1-2,pearson_correlation,-0.0209216850408551
correlation,bob_secret_displacement,1-3,pearson_correlation,-0.00658236135544848
correlation,bob_secret_displacement,1-4,pearson_correlation,0.008543008266579395
correlation,bob_secret_displacement,1-5,pearson_correlation,-0.004898039738894588
correlation,bob_secret_displacement,1-6,pearson_correlation,0.001775249946700224
correlation,bob_secret_displacement,1-7,pearson_correlation,0.0005752167414466724
correlation,bob_secret_displacement,2-3,pearson_correlation,-0.01102717332760245
correlation,bob_secret_displacement,2-4,pearson_correlation,0.017840664285903914
correlation,bob_secret_displacement,2-5,pearson_correlation,0.006923981483082641
correlation,bob_secret_displacement,2-6,pearson_correlation,-0.0029115558878993
correlation,bob_secret_displacement,2-7,pearson_correlation,-0.007140051520734743
correlation,bob_secret_displacement,3-4,pearson_correlation,-0.012886104714136228
correlation,bob_secret_displacement,3-5,pearson_correlation,0.014040094068848024
correlation,bob_secret_displacement,3-6,pearson_correlation,-0.00997045718164711
correlation,bob_secret_displacement,3-7,pearson_correlation,-0.008424626268446991
correlation,bob_secret_displacement,4-5,pearson_correlation,-0.004463882792620472
correlation,bob_secret_displacement,4-6,pearson_correlation,0.0053083241127332105
correlation,bob_secret_displacement,4-7,pearson_correlation,0.020476954471628155
correlation,bob_secret_displacement,5-6,pearson_correlation,0.0030628246872366075
correlation,bob_secret_displacement,5-7,pearson_correlation,-0.0016267000444072685
correlation,bob_secret_displacement,6-7,pearson_correlation,0.011179148833984959
octonion,bob_secret_displacement,,maximum_absolute_pairwise_correlation,0.0209216850408551
octonion,bob_secret_displacement,,maximum_correlation_pair,a1-a2
octonion,bob_secret_displacement,,maximum_correlation_signed_value,-0.0209216850408551
octonion,alice_shifted_argument,,null_octonion_count,0
octonion,alice_shifted_argument,,noninvertible_count,44
octonion,alice_shifted_argument,,noninvertible_rate,0.0044
component,alice_shifted_argument,0,samples,10000
component,alice_shifted_argument,0,mean,124.9091
component,alice_shifted_argument,0,distinct_values,251
component,alice_shifted_argument,0,entropy_bits,7.955269671005424
