variable,gcd_exponent_250,samples,component,distinct_values,entropy_bits,chi_square_uniform,chi_square_df
bob_power_public_input,125,38,5,27,4.193881518574894,952.7894736842131,250
bob_power_public_input,125,38,6,26,4.141249939627525,966.0000000000027,250
bob_power_public_input,125,38,7,27,4.11583409216322,1084.8947368420975,250
bob_power_public_input,250,33,0,15,2.5986176722242678,2819.272727272759,250
bob_power_public_input,250,33,1,14,2.538011611618207,2834.4848484848803,250
bob_power_public_input,250,33,2,15,2.5986176722242678,2819.272727272759,250
bob_power_public_input,250,33,3,15,2.5986176722242678,2819.272727272759,250
bob_power_public_input,250,33,4,15,2.5986176722242678,2819.272727272759,250
bob_power_public_input,250,33,5,15,2.5986176722242678,2819.272727272759,250
bob_power_public_input,250,33,6,15,2.5986176722242678,2819.272727272759,250
bob_power_public_input,250,33,7,15,2.5986176722242678,2819.272727272759,250
bob_power_shifted_input,1,3874,0,251,7.92021679793865,295.42488384099164,250
bob_power_shifted_input,1,3874,1,251,7.909652434956056,359.17914300464656,250
bob_power_shifted_input,1,3874,2,251,7.915535657910441,335.4656685596284,250
bob_power_shifted_input,1,3874,3,251,7.908629118678515,385.61383582860117,250
bob_power_shifted_input,1,3874,4,251,7.909517556549425,373.0443985544663,250
bob_power_shifted_input,1,3874,5,251,7.915255902231705,337.9277232834281,250
bob_power_shifted_input,1,3874,6,251,7.919002783462731,316.54672173464127,250
bob_power_shifted_input,1,3874,7,251,7.913439624838501,359.30872483221475,250
bob_power_shifted_input,2,4081,0,251,7.9256391374561295,258.32933104631184,250
bob_power_shifted_input,2,4081,1,251,7.863654231139476,1186.0637098750328,250
bob_power_shifted_input,2,4081,2,251,7.863034007757082,1143.2565547659897,250
bob_power_shifted_input,2,4081,3,251,7.867944485191323,1119.8848321489843,250
bob_power_shifted_input,2,4081,4,251,7.875048810717714,1028.6121048762548,250
bob_power_shifted_input,2,4081,5,251,7.869288228589537,1096.1440823327612,250
bob_power_shifted_input,2,4081,6,251,7.876393002731829,1022.9536878216117,250
bob_power_shifted_input,2,4081,7,251,7.861386021836445,1193.5672629257554,250
bob_power_shifted_input,5,861,0,241,7.743253665036818,253.48664343786402,250
bob_power_shifted_input,5,861,1,236,7.683762701647,335.1126596980262,250
bob_power_shifted_input,5,861,2,242,7.737491567965854,255.8188153310115,250
bob_power_shifted_input,5,861,3,245,7.722938330846721,305.3774680603952,250
bob_power_shifted_input,5,861,4,245,7.714694292268277,311.2078977932639,250
bob_power_shifted_input,5,861,5,243,7.725468648893808,283.221835075494,250
bob_power_shifted_input,5,861,6,243,7.707212335106863,315.8722415795593,250
bob_power_shifted_input,5,861,7,244,7.728591945062182,280.8896631823467,250
bob_power_shifted_input,10,795,0,237,7.624232976288893,369.0716981132078,250
bob_power_shifted_input,10,795,1,244,7.658607805203133,587.5522012578605,250
bob_power_shifted_input,10,795,2,240,7.624591007268489,616.5987421383634,250
bob_power_shifted_input,10,795,3,236,7.586718559062673,682.9006289308155,250
bob_power_shifted_input,10,795,4,232,7.5765134506843275,700.5811320754694,250
bob_power_shifted_input,10,795,5,237,7.616449532818617,641.2251572327029,250
bob_power_shifted_input,10,795,6,239,7.621847089638111,624.8075471698099,250
bob_power_shifted_input,10,795,7,244,7.627328147360332,630.4905660377339,250
bob_power_shifted_input,25,156,0,91,6.22813969958733,545.5128205128232,250
bob_power_shifted_input,25,156,1,108,6.482298292483131,465.0641025641052,250
bob_power_shifted_input,25,156,2,106,6.464294220001246,445.75641025641244,250
bob_power_shifted_input,25,156,3,107,6.465657642922186,490.8076923076959,250
bob_power_shifted_input,25,156,4,109,6.530093338632595,416.7948717948736,250
bob_power_shifted_input,25,156,5,119,6.685636047007535,365.307692307694,250
bob_power_shifted_input,25,156,6,110,6.521471684991915,432.884615384617,250
bob_power_shifted_input,25,156,7,113,6.599034925184925,391.0512820512846,250
bob_power_shifted_input,50,162,0,75,5.669403374999805,990.740740740736,250
bob_power_shifted_input,50,162,1,110,6.423143717020971,652.9753086419695,250
bob_power_shifted_input,50,162,2,114,6.501877590491117,618.8888888888843,250
bob_power_shifted_input,50,162,3,108,6.388750002670935,699.4567901234492,250
bob_power_shifted_input,50,162,4,111,6.421127240311901,693.2592592592523,250
bob_power_shifted_input,50,162,5,105,6.343793390031631,683.9629629629561,250
bob_power_shifted_input,50,162,6,106,6.285726602320817,879.1851851851761,250
bob_power_shifted_input,50,162,7,110,6.412190399052963,659.1728395061665,250
bob_power_shifted_input,125,38,0,22,4.003606131466104,847.1052631578978,250
bob_power_shifted_input,125,38,1,32,4.787143960698142,424.36842105263435,250
bob_power_shifted_input,125,38,2,31,4.734512381750773,437.57894736842445,250
bob_power_shifted_input,125,38,3,29,4.6093837632727865,477.21052631579204,250
bob_power_shifted_input,125,38,4,30,4.681880802803404,450.78947368421336,250
bob_power_shifted_input,125,38,5,31,4.734512381750773,437.578947368424,250
bob_power_shifted_input,125,38,6,32,4.787143960698141,424.36842105263423,250
bob_power_shifted_input,125,38,7,32,4.787143960698142,424.36842105263435,250
bob_power_shifted_input,250,33,0,16,2.769889573117192,2545.454545454577,250
bob_power_shifted_input,250,33,1,15,2.7092835125111314,2560.6666666666983,250
bob_power_shifted_input,250,33,2,15,2.7092835125111314,2560.6666666666983,250
bob_power_shifted_input,250,33,3,14,2.648677451905071,2575.87878787882,250
bob_power_shifted_input,250,33,4,13,2.5880713912990103,2591.0909090909413,250
bob_power_shifted_input,250,33,5,16,2.769889573117192,2545.454545454577,250
bob_power_shifted_input,250,33,6,15,2.5986176722242678,2819.272727272759,250
bob_power_shifted_input,250,33,7,16,2.769889573117192,2545.454545454577,250
