candidate,norm,count,relative_frequency,expected_uniform_count
2,165,34,0.0034,39.8406374501992
2,166,39,0.0039,39.8406374501992
2,167,32,0.0032,39.8406374501992
2,168,36,0.0036,39.8406374501992
2,169,48,0.0048,39.8406374501992
2,170,38,0.0038,39.8406374501992
2,171,37,0.0037,39.8406374501992
2,172,45,0.0045,39.8406374501992
2,173,43,0.0043,39.8406374501992
2,174,48,0.0048,39.8406374501992
2,175,41,0.0041,39.8406374501992
2,176,42,0.0042,39.8406374501992
2,177,39,0.0039,39.8406374501992
2,178,40,0.004,39.8406374501992
2,179,29,0.0029,39.8406374501992
2,180,35,0.0035,39.8406374501992
2,181,42,0.0042,39.8406374501992
2,182,42,0.0042,39.8406374501992
2,183,40,0.004,39.8406374501992
2,184,35,0.0035,39.8406374501992
2,185,42,0.0042,39.8406374501992
2,186,35,0.0035,39.8406374501992
2,187,43,0.0043,39.8406374501992
2,188,34,0.0034,39.8406374501992
2,189,37,0.0037,39.8406374501992
2,190,43,0.0043,39.8406374501992
2,191,45,0.0045,39.8406374501992
2,192,50,0.005,39.8406374501992
2,193,43,0.0043,39.8406374501992
2,194,35,0.0035,39.8406374501992
2,195,46,0.0046,39.8406374501992
2,196,37,0.0037,39.8406374501992
2,197,41,0.0041,39.8406374501992
2,198,29,0.0029,39.8406374501992
2,199,46,0.0046,39.8406374501992
2,200,42,0.0042,39.8406374501992
2,201,40,0.004,39.8406374501992
2,202,35,0.0035,39.8406374501992
2,203,45,0.0045,39.8406374501992
2,204,40,0.004,39.8406374501992
2,205,37,0.0037,39.8406374501992
2,206,44,0.0044,39.8406374501992
2,207,40,0.004,39.8406374501992
2,208,33,0.0033,39.8406374501992
2,209,36,0.0036,39.8406374501992
2,210,48,0.0048,39.8406374501992
2,211,46,0.0046,39.8406374501992
2,212,43,0.0043,39.8406374501992
2,213,43,0.0043,39.8406374501992
2,214,37,0.0037,39.8406374501992
2,215,35,0.0035,39.8406374501992
2,216,29,0.0029,39.8406374501992
2,217,42,0.0042,39.8406374501992
2,218,33,0.0033,39.8406374501992
2,219,43,0.0043,39.8406374501992
2,220,42,0.0042,39.8406374501992
